container_tag,display_name,grid_width,grid_height,location_tags,balance_status,notes
Container.Wardrobe,衣柜,4,5,Location.Residential,draft,纵向储物空间
Container.Drawer,住宅抽屉,4,2,Location.Residential,draft,床头柜或家具抽屉
Container.DeliveryBox,快递盒,3,3,Location.Residential,draft,小型方形容器
Container.Refrigerator,冷藏柜,4,5,Location.ConvenienceStore;Location.Restaurant,draft,便利店与餐厅共用规格
Container.CashDrawer,收银台抽屉,4,2,Location.ConvenienceStore,draft,小型扁平容器
Container.BackroomBox,后仓纸箱,4,4,Location.ConvenienceStore;Location.Restaurant,draft,中型仓储容器
Container.StaffLocker,员工储物柜,3,5,Location.ConvenienceStore;Location.Restaurant,draft,窄高容器
Container.KitchenCabinet,厨房柜,4,4,Location.Restaurant,draft,中型厨柜
Container.KitchenDrawer,厨房抽屉,4,2,Location.Restaurant,draft,扁平后厨容器
Container.Toolbox,金属工具箱,4,3,Location.Factory,draft,允许容纳1×3工具
Container.MetalLocker,金属储物柜,4,5,Location.Factory,draft,工厂综合储物
Container.MaterialBox,材料箱,5,4,Location.Factory,draft,工业材料大箱
Container.WorkbenchDrawer,工作台抽屉,5,2,Location.Factory,draft,横向维修抽屉
Container.OfficeDrawer,办公抽屉,4,2,Location.Factory,draft,办公区小型容器
Container.Cabin,驾驶室杂物空间,4,3,Location.Vehicle,draft,座椅和车内散落物抽象网格
Container.Glovebox,手套箱,3,2,Location.Vehicle,draft,汽车最小容器
Container.Trunk,后备箱,4,5,Location.Vehicle,draft,沿用通用4×5原型
