item_id,display_name,category_tags,stack_limit,grid_width,grid_height,can_rotate,fuel_value,tool_tags,durability_max,unlock_milestone,notes
tool_prybar_crude,简易撬棍,Tool;Tool.Pry,1,1,3,TRUE,0,Tool.Pry.T0,128,t0_1,成功使用消耗1点耐久且归零自动销毁
tool_hammer_iron,铁锤,Tool;Tool.Hammer,1,1,2,TRUE,0,Tool.Hammer,128,tbd,可随身制作
tool_file_iron,铁锉刀,Tool;Tool.File,1,1,1,FALSE,0,Tool.File,128,tbd,加工棍材螺丝与精细金属结构
tool_screwdriver_iron,铁螺丝刀,Tool;Tool.Screwdriver,1,1,1,FALSE,0,Tool.Screwdriver,128,tbd,拆装与电子装配
tool_saw_iron,铁锯,Tool;Tool.Saw,1,1,1,FALSE,0,Tool.Saw,128,tbd,切割木材与金属
tool_wrench_iron,铁扳手,Tool;Tool.Wrench,1,1,1,FALSE,0,Tool.Wrench,128,tbd,机器与管路装配
tool_wire_cutter_iron,铁剪线钳,Tool;Tool.WireCutter,1,1,1,FALSE,0,Tool.WireCutter,128,tbd,将金属板加工为线材
tool_grinding_bowl,研磨碗,Tool;Tool.Grinding.Manual,1,1,1,FALSE,0,Tool.Grinding.Manual,128,tbd,将金属锭或碳源研磨为粉末
tool_pickaxe_iron,铁镐,Tool;Tool.Mining.Stone,1,1,1,FALSE,0,Tool.Mining.Stone,128,tbd,在建筑石料矿场采集石头
tool_shovel_iron,铁铲,Tool;Tool.Digging.Soil,1,1,1,FALSE,0,Tool.Digging.Soil,128,tbd,在有效土壤表面采集泥土
food_bread_bagged,一袋面包,Consumable;Consumable.Food,1,1,1,FALSE,0,,0,t0_1,开局固定补给
food_canned_meat,肉类罐头,Consumable;Consumable.Food,1,1,1,FALSE,0,,0,tbd,城区战利品
drink_water_bottled,一瓶饮用水,Consumable;Consumable.Drink,1,1,1,FALSE,0,,0,t0_1,开局固定补给
drink_bottled,瓶装饮料,Consumable;Consumable.Drink,1,1,1,FALSE,0,,0,tbd,城区战利品
material_stone,石头,Material;Material.Stone,1,1,1,FALSE,0,,0,t0_1,零散石头可拾取且大量来源为石料矿场
material_soil,泥土,Material;Material.Soil,1,1,1,FALSE,0,,0,tbd,在有效土壤地形无限采集且不修改地形
material_wood,木材,Material;Material.Wood,1,1,1,FALSE,0,,0,tbd,搜刮或砍伐树木获得
material_wood_rod,木棍,Material;Material.Wood;Form.Rod,1,1,1,FALSE,0,,0,tbd,工具握柄材料
material_wood_board,木板,Material;Material.Wood;Form.Board,1,1,1,FALSE,0,,0,tbd,铁锯加工木材获得
material_thread,线,Material;Material.Textile;Form.Thread,1,1,1,FALSE,0,,0,tbd,普通纺织线
material_fabric,布料,Material;Material.Textile;Form.Fabric,1,1,1,FALSE,0,,0,tbd,基础纺织材料
material_iron_ingot,铁锭,Material;Material.Metal.Iron;Form.Ingot,1,1,1,FALSE,0,,0,tbd,T0仅搜刮或拆解获得
material_iron_plate,铁板,Material;Material.Metal.Iron;Form.Plate,1,1,1,FALSE,0,,0,tbd,2铁锭锤制
material_iron_rod,铁棍,Material;Material.Metal.Iron;Form.Rod,1,1,1,FALSE,0,,0,t0_1,1铁锭锉制
material_iron_wire,铁丝,Material;Material.Metal.Iron;Form.Wire,1,1,1,FALSE,0,,0,tbd,用于电子管灯丝
material_iron_dust,铁粉,Material;Material.Metal.Iron;Form.Powder,1,1,1,FALSE,0,,0,tbd,研磨碗加工
material_iron_bolt,铁螺栓,Material;Material.Metal.Iron;Form.Bolt,1,1,1,FALSE,0,,0,tbd,1铁棍锯切产出2个
material_iron_screw,铁螺丝,Material;Material.Metal.Iron;Form.Screw,1,1,1,FALSE,0,,0,tbd,由铁螺栓锉制
material_copper_ingot,铜锭,Material;Material.Metal.Copper;Form.Ingot,1,1,1,FALSE,0,,0,tbd,T0仅搜刮或拆解获得
material_copper_plate,铜板,Material;Material.Metal.Copper;Form.Plate,1,1,1,FALSE,0,,0,tbd,2铜锭锤制
material_copper_rod,铜棍,Material;Material.Metal.Copper;Form.Rod,1,1,1,FALSE,0,,0,tbd,1铜锭锉制
material_copper_wire,铜线,Material;Material.Metal.Copper;Form.Wire,1,1,1,FALSE,0,,0,tbd,1铜板剪制
