layout_id,display_name,archetype_id,profile_id,area_tag,candidate_count,activation_chance,min_enabled,max_enabled,access_scope,mutex_group,balance_status,notes
res_standard,普通住宅,residential,res_surface,Area.LivingBedroom,3,45,0,2,building_restricted,,draft,不用于新手住宅固定物品
res_standard,普通住宅,residential,res_wardrobe,Area.Bedroom,1,80,0,1,building_restricted,,draft,卧室衣柜候选位
res_standard,普通住宅,residential,res_drawer,Area.LivingBedroom,2,70,0,2,building_restricted,,draft,客厅或床头抽屉
res_standard,普通住宅,residential,res_delivery_box,Area.PorchLiving,1,35,0,1,building_restricted,surface_delivery,draft,与同位置露天装饰互斥
store_standard,便利店,convenience_store,store_shelf,Area.SalesFloor,6,55,1,4,building_restricted,shelf_content,draft,货架与营业区地表候选位
store_standard,便利店,convenience_store,store_fridge,Area.SalesFloor,2,65,0,2,building_restricted,,draft,冷藏柜候选区
store_standard,便利店,convenience_store,store_cash_drawer,Area.Checkout,1,75,0,1,building_restricted,,draft,收银台抽屉
store_standard,便利店,convenience_store,store_back_box,Area.Backroom,3,65,0,3,area_restricted,backroom_storage,draft,后仓存在时参与判定
store_standard,便利店,convenience_store,store_staff_locker,Area.Backroom,1,55,0,1,area_restricted,backroom_storage,draft,后仓存在时参与判定
restaurant_standard,餐厅,restaurant,restaurant_surface,Area.DiningService,5,45,1,3,building_restricted,dining_surface,draft,餐桌吧台与服务台
restaurant_standard,餐厅,restaurant,restaurant_kitchen_cabinet,Area.Kitchen,3,65,0,3,area_restricted,kitchen_storage,draft,厨房存在时参与判定
restaurant_standard,餐厅,restaurant,restaurant_kitchen_drawer,Area.Kitchen,2,70,0,2,area_restricted,kitchen_storage,draft,厨房存在时参与判定
restaurant_standard,餐厅,restaurant,restaurant_fridge,Area.Kitchen,1,75,0,1,area_restricted,kitchen_storage,draft,厨房冷藏柜
restaurant_standard,餐厅,restaurant,restaurant_back_box,Area.Backroom,3,65,0,3,area_restricted,backroom_storage,draft,后仓存在时参与判定
restaurant_standard,餐厅,restaurant,restaurant_staff_locker,Area.Backroom,1,50,0,1,area_restricted,backroom_storage,draft,后仓存在时参与判定
factory_standard,小型工厂,factory,factory_surface,Area.MaintenanceMaterialWorkshop,6,60,1,4,area_restricted,factory_surface,draft,工作台材料架及车间地表
factory_standard,小型工厂,factory,factory_toolbox,Area.Maintenance,2,70,0,2,area_restricted,maintenance_storage,draft,维修区工具箱
factory_standard,小型工厂,factory,factory_metal_locker,Area.MaintenanceWorkshop,2,65,0,2,area_restricted,maintenance_storage,draft,工人储物柜
factory_standard,小型工厂,factory,factory_material_box,Area.Material,4,70,1,4,area_restricted,material_storage,draft,材料区至少启用一个可搜索位置
factory_standard,小型工厂,factory,factory_work_drawer,Area.Maintenance,2,75,0,2,area_restricted,maintenance_storage,draft,维修工作台抽屉
factory_standard,小型工厂,factory,factory_office_drawer,Area.Office,2,60,0,2,building_restricted,office_storage,draft,办公入口区抽屉
car_sedan,普通轿车,vehicle,car_cabin,Area.VehicleCabin,1,100,1,1,pry_required,,draft,撬开车门后搜索
car_sedan,普通轿车,vehicle,car_glovebox,Area.VehicleCabin,1,80,0,1,pry_required,,draft,先撬车门再徒手打开
car_sedan,普通轿车,vehicle,car_trunk,Area.VehicleTrunk,1,100,1,1,pry_required,,draft,后备箱单独撬开
