pool_id,display_name,item_id,weight,min_quantity,max_quantity,balance_status,notes
loot_food,生活食物,food_bread_bagged,50,1,1,draft,普通战利品
loot_food,生活食物,food_canned_meat,50,1,1,draft,普通战利品
loot_drink,瓶装饮品,drink_water_bottled,55,1,1,draft,普通战利品
loot_drink,瓶装饮品,drink_bottled,45,1,1,draft,普通战利品
loot_textile,纺织材料,material_thread,55,1,1,draft,普通战利品
loot_textile,纺织材料,material_fabric,45,1,1,draft,普通战利品
loot_wood_glass,木材与玻璃,material_wood,60,1,1,draft,普通战利品
loot_wood_glass,木材与玻璃,material_glass,40,1,1,draft,普通战利品
loot_tools_basic,基础工具,tool_hammer_iron,18,1,1,draft,工具耐久区间待定
loot_tools_basic,基础工具,tool_file_iron,16,1,1,draft,工具耐久区间待定
loot_tools_basic,基础工具,tool_screwdriver_iron,14,1,1,draft,工具耐久区间待定
loot_tools_basic,基础工具,tool_saw_iron,12,1,1,draft,工具耐久区间待定
loot_tools_basic,基础工具,tool_wrench_iron,10,1,1,draft,工具耐久区间待定
loot_tools_basic,基础工具,tool_wire_cutter_iron,7,1,1,draft,工具耐久区间待定
loot_tools_basic,基础工具,tool_grinding_bowl,9,1,1,draft,工具耐久区间待定
loot_tools_basic,基础工具,tool_pickaxe_iron,7,1,1,draft,工具耐久区间待定
loot_tools_basic,基础工具,tool_shovel_iron,7,1,1,draft,工具耐久区间待定
loot_iron,铁质材料,material_iron_ingot,30,1,1,draft,普通战利品
loot_iron,铁质材料,material_iron_plate,35,1,1,draft,地基目标材料
loot_iron,铁质材料,material_iron_rod,20,1,1,draft,普通战利品
loot_iron,铁质材料,material_iron_bolt,10,1,1,draft,普通战利品
loot_iron,铁质材料,material_iron_screw,5,1,1,draft,普通战利品
loot_conductive_insulation,导电与绝缘材料,material_insulating_rubber,40,1,1,draft,普通战利品
loot_conductive_insulation,导电与绝缘材料,material_copper_ingot,20,1,1,draft,普通战利品
loot_conductive_insulation,导电与绝缘材料,material_copper_wire,15,1,1,draft,普通战利品
loot_conductive_insulation,导电与绝缘材料,material_copper_plate,10,1,1,draft,普通战利品
loot_conductive_insulation,导电与绝缘材料,material_tin_ingot,8,1,1,draft,普通战利品
loot_conductive_insulation,导电与绝缘材料,material_tin_plate,3,1,1,draft,普通战利品
loot_conductive_insulation,导电与绝缘材料,material_tin_wire,4,1,1,draft,普通战利品
loot_electronics_legacy,电子遗产,component_vacuum_tube,35,1,1,draft,稀有战利品
loot_electronics_legacy,电子遗产,component_resistor,30,1,1,draft,稀有战利品
loot_electronics_legacy,电子遗产,component_circuit_substrate,20,1,1,draft,稀有战利品
loot_electronics_legacy,电子遗产,component_circuit_board,10,1,1,draft,稀有战利品
loot_electronics_legacy,电子遗产,component_machine_frame_basic,5,1,1,draft,稀有战利品
loot_portable_power,便携电源,power_battery_disposable,100,1,1,draft,不可制造
